date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,age,0,indication,694072,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202053,AG,age,0,indication,694072,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202101,AG,age,3,indication,694072,3,0,0.75,75,42.9,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202102,AG,age,2,indication,694072,5,0,0.143,14.299999999999999,23.799999999999997,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202103,AG,age,4,indication,694072,9,0,0.024,2.4,4.8,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202104,AG,age,504,indication,694072,513,0.1,0.652,65.2,53.5,0.07,0.07,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202105,AG,age,1612,indication,694072,2125,0.3,0.623,62.3,59.9,0.23,0.31,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202106,AG,age,1491,indication,694072,3616,0.5,0.583,58.3,59.199999999999996,0.21,0.52,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202107,AG,age,3629,indication,694072,7245,1,0.686,68.60000000000001,63.6,0.52,1.04,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202108,AG,age,3646,indication,694072,10891,1.6,0.559,55.900000000000006,60.8,0.53,1.57,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202109,AG,age,2915,indication,694072,13806,2,0.49,49,57.8,0.42,1.99,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202110,AG,age,1934,indication,694072,15740,2.3,0.412,41.199999999999996,55.1,0.28,2.27,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202111,AG,age,2169,indication,694072,17909,2.6,0.42,42,53.1,0.31,2.58,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202112,AG,age,4527,indication,694072,22436,3.2,0.536,53.6,53.2,0.65,3.23,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202113,AG,age,3589,indication,694072,26025,3.7,0.564,56.39999999999999,53.6,0.52,3.75,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202114,AG,age,4137,indication,694072,30162,4.3,0.465,46.5,52.5,0.6,4.35,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202115,AG,age,2063,indication,694072,32225,4.6,0.321,32.1,50.5,0.3,4.64,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202116,AG,age,2384,indication,694072,34609,5,0.289,28.9,48,0.34,4.99,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202117,AG,age,1600,indication,694072,36209,5.2,0.164,16.400000000000002,44.2,0.23,5.22,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202118,AG,age,2531,indication,694072,38740,5.6,0.208,20.8,41.199999999999996,0.36,5.58,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202119,AG,age,1849,indication,694072,40589,5.8,0.128,12.8,37.4,0.27,5.85,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202120,AG,age,1570,indication,694072,42159,6.1,0.073,7.3,32.5,0.23,6.07,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202121,AG,age,877,indication,694072,43036,6.2,0.05,5,29.2,0.13,6.2,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202122,AG,age,2125,indication,694072,45161,6.5,0.082,8.200000000000001,26.1,0.31,6.51,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202123,AG,age,1558,indication,694072,46719,6.7,0.08,8,24.2,0.22,6.73,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202124,AG,age,1513,indication,694072,48232,6.9,0.085,8.5,22.900000000000002,0.22,6.95,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202125,AG,age,1185,indication,694072,49417,7.1,0.05,5,21.099999999999998,0.17,7.12,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202126,AG,age,1206,indication,694072,50623,7.3,0.046,4.6,19.400000000000002,0.17,7.29,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202127,AG,age,862,indication,694072,51485,7.4,0.028,2.8000000000000003,17.599999999999998,0.12,7.42,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202128,AG,age,498,indication,694072,51983,7.5,0.02,2,16.400000000000002,0.07,7.49,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202129,AG,age,531,indication,694072,52514,7.6,0.036,3.5999999999999996,15.9,0.08,7.57,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202130,AG,age,461,indication,694072,52975,7.6,0.047,4.7,15.5,0.07,7.63,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202131,AG,age,606,indication,694072,53581,7.7,0.086,8.6,15.4,0.09,7.72,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202132,AG,age,802,indication,694072,54383,7.8,0.124,12.4,15.299999999999999,0.12,7.84,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202133,AG,age,717,indication,694072,55100,7.9,0.132,13.200000000000001,15.299999999999999,0.1,7.94,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202134,AG,age,642,indication,694072,55742,8,0.105,10.5,15.2,0.09,8.03,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202135,AG,age,492,indication,694072,56234,8.1,0.088,8.799999999999999,15.1,0.07,8.1,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202136,AG,age,575,indication,694072,56809,8.2,0.095,9.5,15,0.08,8.18,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202137,AG,age,678,indication,694072,57487,8.3,0.09,9,14.899999999999999,0.1,8.28,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202138,AG,age,983,indication,694072,58470,8.4,0.109,10.9,14.799999999999999,0.14,8.42,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202139,AG,age,1028,indication,694072,59498,8.6,0.106,10.6,14.7,0.15,8.57,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202140,AG,age,796,indication,694072,60294,8.7,0.08,8,14.6,0.11,8.69,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202141,AG,age,1121,indication,694072,61415,8.8,0.106,10.6,14.499999999999998,0.16,8.85,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202142,AG,age,1013,indication,694072,62428,9,0.128,12.8,14.399999999999999,0.15,8.99,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202143,AG,age,770,indication,694072,63198,9.1,0.135,13.5,14.399999999999999,0.11,9.11,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202144,AG,age,357,indication,694072,63555,9.2,0.097,9.700000000000001,14.399999999999999,0.05,9.16,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202145,AG,age,374,indication,694072,63929,9.2,0.126,12.6,14.399999999999999,0.05,9.21,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202146,AG,age,222,indication,694072,64151,9.2,0.087,8.7,14.299999999999999,0.03,9.24,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202147,AG,age,252,indication,694072,64403,9.3,0.103,10.299999999999999,14.299999999999999,0.04,9.28,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202052,AG,chronic_disease,0,indication,694072,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202053,AG,chronic_disease,0,indication,694072,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202101,AG,chronic_disease,1,indication,694072,1,0,0.25,25,14.299999999999999,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202102,AG,chronic_disease,1,indication,694072,2,0,0.071,7.1,9.5,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202103,AG,chronic_disease,9,indication,694072,11,0,0.055,5.5,5.8999999999999995,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202104,AG,chronic_disease,96,indication,694072,107,0,0.124,12.4,11.200000000000001,0.01,0.02,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202105,AG,chronic_disease,422,indication,694072,529,0.1,0.163,16.3,14.899999999999999,0.06,0.08,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202106,AG,chronic_disease,401,indication,694072,930,0.1,0.157,15.7,15.2,0.06,0.13,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202107,AG,chronic_disease,977,indication,694072,1907,0.3,0.185,18.5,16.7,0.14,0.27,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202108,AG,chronic_disease,1452,indication,694072,3359,0.5,0.223,22.3,18.7,0.21,0.48,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202109,AG,chronic_disease,1587,indication,694072,4946,0.7,0.266,26.6,20.7,0.23,0.71,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202110,AG,chronic_disease,1240,indication,694072,6186,0.9,0.264,26.400000000000002,21.7,0.18,0.89,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202111,AG,chronic_disease,1500,indication,694072,7686,1.1,0.29,28.999999999999996,22.8,0.22,1.11,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202112,AG,chronic_disease,2516,indication,694072,10202,1.5,0.298,29.799999999999997,24.2,0.36,1.47,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202113,AG,chronic_disease,1846,indication,694072,12048,1.7,0.29,28.999999999999996,24.8,0.27,1.74,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202114,AG,chronic_disease,2933,indication,694072,14981,2.2,0.329,32.9,26.1,0.42,2.16,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202115,AG,chronic_disease,2155,indication,694072,17136,2.5,0.335,33.5,26.8,0.31,2.47,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202116,AG,chronic_disease,2969,indication,694072,20105,2.9,0.36,36,27.900000000000002,0.43,2.9,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202117,AG,chronic_disease,3174,indication,694072,23279,3.4,0.325,32.5,28.4,0.46,3.35,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202118,AG,chronic_disease,4051,indication,694072,27330,3.9,0.333,33.300000000000004,29.099999999999998,0.58,3.94,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202119,AG,chronic_disease,4204,indication,694072,31534,4.5,0.292,29.2,29.099999999999998,0.61,4.54,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202120,AG,chronic_disease,7578,indication,694072,39112,5.6,0.353,35.3,30.099999999999998,1.09,5.64,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202121,AG,chronic_disease,5191,indication,694072,44303,6.4,0.298,29.799999999999997,30.099999999999998,0.75,6.38,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202122,AG,chronic_disease,5842,indication,694072,50145,7.2,0.224,22.400000000000002,28.9,0.84,7.22,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202123,AG,chronic_disease,3606,indication,694072,53751,7.7,0.186,18.6,27.900000000000002,0.52,7.74,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202124,AG,chronic_disease,2549,indication,694072,56300,8.1,0.143,14.299999999999999,26.700000000000003,0.37,8.11,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202125,AG,chronic_disease,2077,indication,694072,58377,8.4,0.087,8.7,24.9,0.3,8.41,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202126,AG,chronic_disease,1532,indication,694072,59909,8.6,0.058,5.800000000000001,23,0.22,8.63,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202127,AG,chronic_disease,1403,indication,694072,61312,8.8,0.045,4.5,21,0.2,8.83,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202128,AG,chronic_disease,1211,indication,694072,62523,9,0.05,5,19.8,0.17,9.01,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202129,AG,chronic_disease,913,indication,694072,63436,9.1,0.062,6.2,19.2,0.13,9.14,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202130,AG,chronic_disease,568,indication,694072,64004,9.2,0.058,5.800000000000001,18.8,0.08,9.22,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202131,AG,chronic_disease,415,indication,694072,64419,9.3,0.059,5.8999999999999995,18.5,0.06,9.28,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202132,AG,chronic_disease,443,indication,694072,64862,9.3,0.069,6.9,18.3,0.06,9.35,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202133,AG,chronic_disease,370,indication,694072,65232,9.4,0.068,6.800000000000001,18.099999999999998,0.05,9.4,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202134,AG,chronic_disease,421,indication,694072,65653,9.5,0.069,6.9,17.9,0.06,9.46,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202135,AG,chronic_disease,409,indication,694072,66062,9.5,0.073,7.3,17.8,0.06,9.52,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202136,AG,chronic_disease,418,indication,694072,66480,9.6,0.069,6.9,17.599999999999998,0.06,9.58,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202137,AG,chronic_disease,461,indication,694072,66941,9.6,0.061,6.1,17.4,0.07,9.64,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202138,AG,chronic_disease,550,indication,694072,67491,9.7,0.061,6.1,17.1,0.08,9.72,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202139,AG,chronic_disease,661,indication,694072,68152,9.8,0.068,6.800000000000001,16.900000000000002,0.1,9.82,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202140,AG,chronic_disease,739,indication,694072,68891,9.9,0.074,7.3999999999999995,16.7,0.11,9.93,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202141,AG,chronic_disease,724,indication,694072,69615,10,0.068,6.800000000000001,16.400000000000002,0.1,10.03,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202142,AG,chronic_disease,535,indication,694072,70150,10.1,0.068,6.800000000000001,16.2,0.08,10.11,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202143,AG,chronic_disease,357,indication,694072,70507,10.2,0.062,6.2,16.1,0.05,10.16,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202144,AG,chronic_disease,246,indication,694072,70753,10.2,0.067,6.7,16,0.04,10.19,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202145,AG,chronic_disease,204,indication,694072,70957,10.2,0.069,6.9,16,0.03,10.22,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202146,AG,chronic_disease,214,indication,694072,71171,10.3,0.083,8.3,15.9,0.03,10.25,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202147,AG,chronic_disease,170,indication,694072,71341,10.3,0.069,6.9,15.9,0.02,10.28,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202052,AG,med_prof,0,indication,694072,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202053,AG,med_prof,2,indication,694072,2,0,0.667,66.7,66.7,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202101,AG,med_prof,0,indication,694072,2,0,0,0,28.599999999999998,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202102,AG,med_prof,9,indication,694072,11,0,0.643,64.3,52.400000000000006,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202103,AG,med_prof,144,indication,694072,155,0,0.873,87.3,83.3,0.02,0.02,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202104,AG,med_prof,157,indication,694072,312,0,0.203,20.3,32.5,0.02,0.04,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202105,AG,med_prof,335,indication,694072,647,0.1,0.13,13,18.3,0.05,0.09,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202106,AG,med_prof,380,indication,694072,1027,0.1,0.148,14.799999999999999,16.8,0.05,0.15,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202107,AG,med_prof,423,indication,694072,1450,0.2,0.08,8,12.7,0.06,0.21,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202108,AG,med_prof,841,indication,694072,2291,0.3,0.129,12.9,12.8,0.12,0.33,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202109,AG,med_prof,783,indication,694072,3074,0.4,0.131,13.100000000000001,12.9,0.11,0.44,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202110,AG,med_prof,1155,indication,694072,4229,0.6,0.246,24.6,14.799999999999999,0.17,0.61,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202111,AG,med_prof,983,indication,694072,5212,0.8,0.19,19,15.5,0.14,0.75,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202112,AG,med_prof,801,indication,694072,6013,0.9,0.095,9.5,14.299999999999999,0.12,0.87,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202113,AG,med_prof,463,indication,694072,6476,0.9,0.073,7.3,13.3,0.07,0.93,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202114,AG,med_prof,741,indication,694072,7217,1,0.083,8.3,12.6,0.11,1.04,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202115,AG,med_prof,529,indication,694072,7746,1.1,0.082,8.200000000000001,12.1,0.08,1.12,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202116,AG,med_prof,737,indication,694072,8483,1.2,0.089,8.9,11.799999999999999,0.11,1.22,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202117,AG,med_prof,613,indication,694072,9096,1.3,0.063,6.3,11.1,0.09,1.31,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202118,AG,med_prof,844,indication,694072,9940,1.4,0.069,6.9,10.6,0.12,1.43,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202119,AG,med_prof,3357,indication,694072,13297,1.9,0.233,23.3,12.3,0.48,1.92,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202120,AG,med_prof,3440,indication,694072,16737,2.4,0.16,16,12.9,0.5,2.41,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202121,AG,med_prof,1673,indication,694072,18410,2.7,0.096,9.6,12.5,0.24,2.65,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202122,AG,med_prof,1777,indication,694072,20187,2.9,0.068,6.800000000000001,11.600000000000001,0.26,2.91,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202123,AG,med_prof,1301,indication,694072,21488,3.1,0.067,6.7,11.1,0.19,3.1,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202124,AG,med_prof,1134,indication,694072,22622,3.3,0.064,6.4,10.7,0.16,3.26,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202125,AG,med_prof,914,indication,694072,23536,3.4,0.038,3.8,10,0.13,3.39,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202126,AG,med_prof,556,indication,694072,24092,3.5,0.021,2.1,9.2,0.08,3.47,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202127,AG,med_prof,520,indication,694072,24612,3.5,0.017,1.7000000000000002,8.4,0.07,3.55,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202128,AG,med_prof,315,indication,694072,24927,3.6,0.013,1.3,7.9,0.05,3.59,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202129,AG,med_prof,232,indication,694072,25159,3.6,0.016,1.6,7.6,0.03,3.62,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202130,AG,med_prof,231,indication,694072,25390,3.7,0.024,2.4,7.3999999999999995,0.03,3.66,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202131,AG,med_prof,151,indication,694072,25541,3.7,0.021,2.1,7.3,0.02,3.68,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202132,AG,med_prof,135,indication,694072,25676,3.7,0.021,2.1,7.199999999999999,0.02,3.7,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202133,AG,med_prof,140,indication,694072,25816,3.7,0.026,2.6,7.199999999999999,0.02,3.72,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202134,AG,med_prof,177,indication,694072,25993,3.7,0.029,2.9000000000000004,7.1,0.03,3.75,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202135,AG,med_prof,143,indication,694072,26136,3.8,0.026,2.6,7.000000000000001,0.02,3.77,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202136,AG,med_prof,161,indication,694072,26297,3.8,0.027,2.7,7.000000000000001,0.02,3.79,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202137,AG,med_prof,192,indication,694072,26489,3.8,0.026,2.6,6.9,0.03,3.82,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202138,AG,med_prof,259,indication,694072,26748,3.9,0.029,2.9000000000000004,6.800000000000001,0.04,3.85,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202139,AG,med_prof,269,indication,694072,27017,3.9,0.028,2.8000000000000003,6.7,0.04,3.89,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202140,AG,med_prof,278,indication,694072,27295,3.9,0.028,2.8000000000000003,6.6000000000000005,0.04,3.93,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202141,AG,med_prof,233,indication,694072,27528,4,0.022,2.1999999999999997,6.5,0.03,3.97,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202142,AG,med_prof,168,indication,694072,27696,4,0.021,2.1,6.4,0.02,3.99,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202143,AG,med_prof,117,indication,694072,27813,4,0.02,2,6.4,0.02,4.01,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202144,AG,med_prof,93,indication,694072,27906,4,0.025,2.5,6.3,0.01,4.02,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202145,AG,med_prof,66,indication,694072,27972,4,0.022,2.1999999999999997,6.3,0.01,4.03,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202146,AG,med_prof,72,indication,694072,28044,4,0.028,2.8000000000000003,6.3,0.01,4.04,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202147,AG,med_prof,57,indication,694072,28101,4,0.023,2.3,6.3,0.01,4.05,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202052,AG,contact_vuln,0,indication,694072,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202053,AG,contact_vuln,0,indication,694072,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202101,AG,contact_vuln,0,indication,694072,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202102,AG,contact_vuln,0,indication,694072,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202103,AG,contact_vuln,0,indication,694072,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202104,AG,contact_vuln,2,indication,694072,2,0,0.003,0.3,0.2,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202105,AG,contact_vuln,20,indication,694072,22,0,0.008,0.8,0.6,0,0,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202106,AG,contact_vuln,52,indication,694072,74,0,0.02,2,1.2,0.01,0.01,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202107,AG,contact_vuln,80,indication,694072,154,0,0.015,1.5,1.4000000000000001,0.01,0.02,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202108,AG,contact_vuln,87,indication,694072,241,0,0.013,1.3,1.3,0.01,0.03,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202109,AG,contact_vuln,148,indication,694072,389,0.1,0.025,2.5,1.6,0.02,0.06,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202110,AG,contact_vuln,96,indication,694072,485,0.1,0.02,2,1.7000000000000002,0.01,0.07,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202111,AG,contact_vuln,80,indication,694072,565,0.1,0.015,1.5,1.7000000000000002,0.01,0.08,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202112,AG,contact_vuln,93,indication,694072,658,0.1,0.011,1.0999999999999999,1.6,0.01,0.09,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202113,AG,contact_vuln,81,indication,694072,739,0.1,0.013,1.3,1.5,0.01,0.11,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202114,AG,contact_vuln,207,indication,694072,946,0.1,0.023,2.3,1.6,0.03,0.14,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202115,AG,contact_vuln,421,indication,694072,1367,0.2,0.065,6.5,2.1,0.06,0.2,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202116,AG,contact_vuln,417,indication,694072,1784,0.3,0.051,5.1,2.5,0.06,0.26,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202117,AG,contact_vuln,898,indication,694072,2682,0.4,0.092,9.2,3.3000000000000003,0.13,0.39,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202118,AG,contact_vuln,980,indication,694072,3662,0.5,0.081,8.1,3.9,0.14,0.53,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202119,AG,contact_vuln,951,indication,694072,4613,0.7,0.066,6.6000000000000005,4.3,0.14,0.66,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202120,AG,contact_vuln,1717,indication,694072,6330,0.9,0.08,8,4.9,0.25,0.91,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202121,AG,contact_vuln,6737,indication,694072,13067,1.9,0.387,38.7,8.9,0.97,1.88,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202122,AG,contact_vuln,12033,indication,694072,25100,3.6,0.462,46.2,14.499999999999998,1.73,3.62,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202123,AG,contact_vuln,3852,indication,694072,28952,4.2,0.199,19.900000000000002,15,0.55,4.17,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202124,AG,contact_vuln,1193,indication,694072,30145,4.3,0.067,6.7,14.299999999999999,0.17,4.34,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202125,AG,contact_vuln,846,indication,694072,30991,4.5,0.036,3.5999999999999996,13.200000000000001,0.12,4.47,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202126,AG,contact_vuln,628,indication,694072,31619,4.6,0.024,2.4,12.1,0.09,4.56,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202127,AG,contact_vuln,1080,indication,694072,32699,4.7,0.035,3.5000000000000004,11.200000000000001,0.16,4.71,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202128,AG,contact_vuln,1895,indication,694072,34594,5,0.078,7.8,10.9,0.27,4.98,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
202129,AG,contact_vuln,1447,indication,694072,36041,5.2,0.098,9.8,10.9,0.21,5.19,COVID19FullyVaccPersons,2021-12-02_07-48-44,detailed
